username,followers_count,likes_sum,reposts_sum,views_sum
elonmusk,237813119,8887762,1045015,2658721404
BarackObama,119291257,27734417,2417403,2931517542
realDonaldTrump,111078516,33411112,4364822,5564932969
Cristiano,106574505,5890534,380070,486619334
narendramodi,106565012,71607,11705,13210535
rihanna,96758673,2902033,218678,181696087
NASA,90714188,277747,29759,11390493
justinbieber,90053596,256877,43755,7752773
katyperry,85668451,580619,56987,43813908
taylorswift13,79423160,2192803,376698,118501206
ladygaga,70988171,253422,44731,6989968
KimKardashian,68800633,331285,30678,45634869
YouTube,68305709,59966,21569,2928024
imVkohli,66562287,1202931,115368,18026990
BillGates,62869962,51498,13984,11963639
TheEllenShow,62631134,0,0,0
CNN,61750050,6024,1317,1420116
X,60854689,268293,25911,31150790
cnnbrk,59662952,6240,1539,3132358
neymarjr,59025942,336843,21882,20148929
selenagomez,58777057,238082,37795,18348845
PMOIndia,58257353,5883,1676,403504
espn,58085358,7434,762,1503235
nytimes,53164129,3305,790,1464169
ChampionsLeague,52676109,170888,19988,3074443
BBCBreaking,49890204,4500,1203,3063391
realmadrid,49116247,46822,4141,2859855
KingJames,48395980,613249,41305,26873125
jtimberlake,48006029,0,0,0
BTS_twt,47023305,2118362,784761,44296888
FCBarcelona,46603717,67219,4634,1101891
NBA,46318626,4953,725,438073
shakira,45315218,140685,15195,6710374
premierleague,45113916,84439,6763,2749739
SrBachchan,44910287,10925,1215,2515434
bts_bighit,44857884,1440528,534191,20563011
akshaykumar,44414711,73390,9976,1922319
ddlovato,43504077,197064,29484,6387959
PlayStation,43286320,38906,3898,4601974
jimmyfallon,43198077,70245,9662,3013103
britneyspears,43078463,217300,24979,16402435
BeingSalmanKhan,42183863,269111,32751,11141907
BBCWorld,41891173,2094,449,721863
SportsCenter,41706921,29957,3461,2174077
SpaceX,41424387,40665,6657,37961577
MileyCyrus,41206887,750428,140699,31657328
iamsrk,40267343,263112,37523,8862961
sachin_rt,39134041,384549,34718,5747916
ManUtd,37991731,56561,4793,1399190
JoeBiden,37944042,518629,57322,22178787
KylieJenner,37643844,89097,5217,8282506
NetflixBrasil,37391329,50477,10922,1009605
